n_points,refine,click_noise_px,median_cm,p90_cm,zone_acc
4,False,1,6.8,16.0,0.988
4,False,2,13.8,32.5,0.979
4,False,5,34.7,82.9,0.937
4,False,10,73.8,184.0,0.856
4,True,1,7.4,17.2,0.988
4,True,2,14.8,34.5,0.977
4,True,5,36.9,86.5,0.93
4,True,10,77.4,194.4,0.848
6,False,1,2.3,5.5,0.997
6,False,2,4.7,11.0,0.994
6,False,5,11.5,26.8,0.986
6,False,10,22.7,52.3,0.963
6,True,1,2.2,5.3,0.997
6,True,2,4.4,10.7,0.993
6,True,5,11.3,27.2,0.985
6,True,10,22.6,55.2,0.962
8,False,1,2.0,4.3,0.996
8,False,2,4.0,8.9,0.992
8,False,5,9.7,21.7,0.984
8,False,10,19.8,44.5,0.969
8,True,1,1.9,4.1,0.996
8,True,2,3.8,8.4,0.994
8,True,5,9.8,21.8,0.985
8,True,10,19.9,43.8,0.969
