make_fraction,confirm_frames,f1
0.4,1,0.857
0.4,2,0.857
0.4,3,0.857
0.4,4,0.863
0.4,5,0.868
0.4,6,0.873
0.5,1,0.901
0.5,2,0.901
0.5,3,0.906
0.5,4,0.911
0.5,5,0.917
0.5,6,0.922
0.6,1,0.921
0.6,2,0.921
0.6,3,0.927
0.6,4,0.937
0.6,5,0.948
0.6,6,0.953
0.7,1,0.945
0.7,2,0.945
0.7,3,0.95
0.7,4,0.961
0.7,5,0.972
0.7,6,0.977
0.8,1,0.937
0.8,2,0.937
0.8,3,0.947
0.8,4,0.957
0.8,5,0.967
0.8,6,0.978
0.9,1,0.922
0.9,2,0.927
0.9,3,0.937
0.9,4,0.947
0.9,5,0.957
0.9,6,0.967
